Aika;RaportointiryhmÃ¤;val
lokakuu 2020;Legionelloosi;1
marraskuu 2020;Legionelloosi;0
joulukuu 2020;Legionelloosi;1
Vuosi 2021;Legionelloosi;34
tammikuu 2021;Legionelloosi;0
helmikuu 2021;Legionelloosi;3
maaliskuu 2021;Legionelloosi;5
huhtikuu 2021;Legionelloosi;3
toukokuu 2021;Legionelloosi;2
kesÃ¤kuu 2021;Legionelloosi;3
heinÃ¤kuu 2021;Legionelloosi;2
elokuu 2021;Legionelloosi;5
syyskuu 2021;Legionelloosi;3
lokakuu 2021;Legionelloosi;3
marraskuu 2021;Legionelloosi;4
joulukuu 2021;Legionelloosi;1
Vuosi 2022;Legionelloosi;46
tammikuu 2022;Legionelloosi;3
helmikuu 2022;Legionelloosi;3
maaliskuu 2022;Legionelloosi;5
huhtikuu 2022;Legionelloosi;3
toukokuu 2022;Legionelloosi;3
kesÃ¤kuu 2022;Legionelloosi;3
heinÃ¤kuu 2022;Legionelloosi;8
elokuu 2022;Legionelloosi;2
syyskuu 2022;Legionelloosi;3
lokakuu 2022;Legionelloosi;7
marraskuu 2022;Legionelloosi;3
joulukuu 2022;Legionelloosi;3
Vuosi 2023;Legionelloosi;55
tammikuu 2023;Legionelloosi;1
helmikuu 2023;Legionelloosi;4
maaliskuu 2023;Legionelloosi;6
huhtikuu 2023;Legionelloosi;2
toukokuu 2023;Legionelloosi;3
kesÃ¤kuu 2023;Legionelloosi;5
heinÃ¤kuu 2023;Legionelloosi;10
elokuu 2023;Legionelloosi;8
syyskuu 2023;Legionelloosi;4
lokakuu 2023;Legionelloosi;3
marraskuu 2023;Legionelloosi;6
joulukuu 2023;Legionelloosi;3
Vuosi 2024;Legionelloosi;48
tammikuu 2024;Legionelloosi;3
helmikuu 2024;Legionelloosi;2
maaliskuu 2024;Legionelloosi;5
huhtikuu 2024;Legionelloosi;5
toukokuu 2024;Legionelloosi;7
kesÃ¤kuu 2024;Legionelloosi;4
heinÃ¤kuu 2024;Legionelloosi;5
elokuu 2024;Legionelloosi;3
syyskuu 2024;Legionelloosi;3
lokakuu 2024;Legionelloosi;5
marraskuu 2024;Legionelloosi;3
joulukuu 2024;Legionelloosi;3
Vuosi 2025;Legionelloosi;86
tammikuu 2025;Legionelloosi;0
helmikuu 2025;Legionelloosi;4
maaliskuu 2025;Legionelloosi;6
huhtikuu 2025;Legionelloosi;1
toukokuu 2025;Legionelloosi;6
kesÃ¤kuu 2025;Legionelloosi;17
heinÃ¤kuu 2025;Legionelloosi;6
elokuu 2025;Legionelloosi;8
syyskuu 2025;Legionelloosi;13
lokakuu 2025;Legionelloosi;10
marraskuu 2025;Legionelloosi;12
joulukuu 2025;Legionelloosi;3
